"Configure","Configure"
"Close","Close"
"Module Information","Module Information"
"Version Installed","Version Installed"
"MageRocket","MageRocket"
"Information","Information"
"General Configuration","General Configuration"
"Enable Menu","Enable Menu"
"If yes, menu will be displayed on the admin navigation.","If yes, menu will be displayed on the admin navigation."
"Attention: Updates are available. We recommend updating as soon as possible", "Attention: Updates are available. We recommend updating as soon as possible"
"Request New Feature","Request New Feature"
"User Guide","User Guide"
"Latest Version","Latest Version"
"Module Configuration","Module Configuration"
"Configuration","Configuration"
"<b>ATTENTION</b>: The installed module corresponds to a development version.","<b>ATTENTION</b>: The installed module corresponds to a development version."
