"Configure","Configurar"
"Close","Cerrar"
"Module Information","Información del Módulo"
"Version Installed","Version Instalada"
"MageRocket","MageRocket"
"Information","Información"
"General Configuration","Configuración General"
"Enable Menu","Mostrar Menu"
"If yes, menu will be displayed on the admin navigation.","Mostrar menú de MageRocket"
"Attention: Updates are available. We recommend updating as soon as possible", "Atención: Hay actualizaciones disponibles. Recomendamos actualizar lo antes posible."
"Request New Feature","Solicitar Modificación"
"User Guide", "Manual del Usuario"
"Latest Version","Versión más reciente"
"Module Configuration","Configuración del Modulo"
"Configuration","Configuraciónes"
"<b>ATTENTION</b>: The installed module corresponds to a development version.","<b>ATENCIÓN</b>: El módulo instalado corresponde a una version de desarrollo."
